"","Country_of_Origin","Releases_from_2000","Releases_from_2001","Releases_from_2002","Releases_from_2003","Releases_from_2004","Releases_from_2005","Releases_from_2006","Releases_from_2007","Releases_from_2008","Releases_from_2009","Releases_from_2010","Releases_from_2011","Releases_from_2012","Releases_from_2013","Releases_from_2014","Releases_from_2015","Releases_from_2016","Releases_from_2017","Releases_from_2018","Releases_from_2019","Releases_from_2020","Releases_from_2021","GDP_growth_2000","GDP_growth_2001","GDP_growth_2002","GDP_growth_2003","GDP_growth_2004","GDP_growth_2005","GDP_growth_2006","GDP_growth_2007","GDP_growth_2008","GDP_growth_2009","GDP_growth_2010","GDP_growth_2011","GDP_growth_2012","GDP_growth_2013","GDP_growth_2014","GDP_growth_2015","GDP_growth_2016","GDP_growth_2017","GDP_growth_2018","GDP_growth_2019","GDP_growth_2020","GDP_growth_2021","GDP_growth_2022"
"109","Taiwan",1,0,2,1,2,2,0,1,1,6,1,4,5,6,3,8,8,7,9,8,13,1,5.47,-2.09,4.92,3.76,6.55,5.01,5.35,6.42,0.46,-1.95,9.95,3.46,1.95,2.2,4.45,1.23,1.95,3.13,2.65,2.66,3.32,6.41,3.51
"110","Thailand",0,0,1,0,1,1,1,2,1,2,4,4,4,1,3,5,5,6,6,12,6,4,3.64,2.64,5.33,6.44,5.63,3.58,4.39,4.89,1.22,-1.14,7.06,0.44,6.83,2.3,0.62,2.78,3.09,3.67,3.78,2.03,-6.48,1.29,2.77
"111","Turkey",0,1,0,0,2,3,2,0,0,2,6,3,3,10,15,13,13,10,10,8,6,5,5.13,-7.26,5.01,4.24,8.25,7.64,5.79,3.77,-0.32,-5.77,7.31,9.94,3.56,7.08,3.81,4.73,2.08,6.7,2.3,0.38,1.16,10.59,1.23
"112","Uganda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.21,1.83,5.14,3.22,3.88,3.37,7.65,5.42,5.87,4.01,2.79,6.38,0.87,0.54,1.79,1.69,0.81,-0.48,2.52,3.31,-4.09,0.99,1.9
"113","Ukraine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6.93,10.31,6.23,10.39,12.94,3.74,8.17,8.24,2.86,-14.38,4.25,5.85,0.49,0.2,-5.63,-8.73,2.74,2.88,3.61,3.22,-3.65,3.73,-45.39
"114","United Arab Emirates",0,0,1,0,0,0,1,0,0,2,0,0,3,0,5,4,5,3,6,5,0,2,4.7,-3.72,-1.97,4.73,5.94,1.76,-3.04,-16.84,-20.26,-17.72,-0.04,4.91,2.04,2.17,2.15,3.79,1.61,1.19,0.19,0.82,-6.82,1.62,4.89
"115","United Kingdom",4,5,5,6,4,11,9,10,14,19,18,22,22,29,46,66,102,101,96,68,68,36,3.03,2.57,1.93,2.9,1.86,2.56,2.18,1.76,-0.92,-4.79,1.37,0.97,0.92,1.58,2.05,1.8,1.38,1.36,0.82,0.89,-9.84,6.81,2.67
"116","United States",26,29,29,37,26,43,48,47,67,72,85,85,101,112,138,210,348,442,457,428,384,173,2.98,0,0.8,1.98,2.84,2.56,1.87,0.91,-1.08,-3.39,1.72,0.82,1.5,1.14,1.78,2.23,0.7,1.58,2.36,1.85,-3.83,5.36,2.41
"117","Uruguay",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,3,3,1,1,-2.29,-4.18,-8.03,0.52,4.75,7.25,3.9,6.3,6.93,4.01,7.56,4.93,3.29,4.38,2.98,0.1,1.41,2.31,1.35,-0.04,-6.37,4.09,2.62
"118","Vatican City",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Venezuela",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.86,1.61,-10.41,-9.31,16.34,8.54,8.13,6.66,3.3,-4.65,-2.93,2.69,4.18,-0.01,-4.89,-7.09,-17.78,-15.38,-16.84,-30.17,-36.55,-6.91,3.41
"120","Vietnam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,5.39,4.83,4.95,5.55,6.17,6.18,5.67,5.83,4.41,4.19,5.24,5.09,4.13,4.33,4.91,5.63,5.19,5.59,5.9,5.86,1.82,1.52,4.92
"121","West Germany",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Zimbabwe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,-4.01,0.58,-9.43,-17.24,-5.95,-5.66,-3.97,-4.42,-18.15,11.16,18.59,13.09,15.51,0.96,1.26,0.53,-0.61,3.15,3.15,-9.69,-1.06,3.97,1.51
