"","Country_of_Origin","Releases_from_2000","Releases_from_2001","Releases_from_2002","Releases_from_2003","Releases_from_2004","Releases_from_2005","Releases_from_2006","Releases_from_2007","Releases_from_2008","Releases_from_2009","Releases_from_2010","Releases_from_2011","Releases_from_2012","Releases_from_2013","Releases_from_2014","Releases_from_2015","Releases_from_2016","Releases_from_2017","Releases_from_2018","Releases_from_2019","Releases_from_2020","Releases_from_2021","GDP_growth_2000","GDP_growth_2001","GDP_growth_2002","GDP_growth_2003","GDP_growth_2004","GDP_growth_2005","GDP_growth_2006","GDP_growth_2007","GDP_growth_2008","GDP_growth_2009","GDP_growth_2010","GDP_growth_2011","GDP_growth_2012","GDP_growth_2013","GDP_growth_2014","GDP_growth_2015","GDP_growth_2016","GDP_growth_2017","GDP_growth_2018","GDP_growth_2019","GDP_growth_2020","GDP_growth_2021","GDP_growth_2022"
"41","Greece",0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,3,1,0,0,0,1,3.41,3.49,3.67,5.89,5.16,0.68,5.7,3.31,-0.46,-4.55,-5.6,-8.95,-6.71,-2.57,1.4,0.24,0.03,1.56,2.21,2.16,-8.42,8.25,2.52
"42","Guatemala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.49,0.29,1.41,0.1,0.61,0.71,2.9,3.92,1,-1.65,0.65,1.95,0.85,1.62,2.41,2.12,0.83,1.24,1.45,2.1,-3.39,6.23,2.29
"43","Hong Kong",1,1,1,0,2,1,2,3,2,3,5,3,1,5,5,4,14,6,7,6,0,0,6.7,-0.32,0.98,2.5,7.89,6.51,6.25,5.73,1.65,-2.49,6.91,4.8,1.41,2.63,2.32,1.98,1.79,3.45,2.55,-1.45,-6.72,6.2,1.46
"44","Hungary",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,2,1,1,4.73,4.25,4.92,4.3,5.02,4.4,4.15,0.36,1.2,-6.58,0.81,1.99,-1.3,2.16,4.41,4.07,2.44,4.58,5.37,5.21,-4.61,7.43,4.97
"45","Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,2,1,3.49,2.52,-0.24,1.54,7.09,4.67,2.81,6.64,0.11,-7.1,-3.28,1.59,0.77,3.1,0.8,3.47,5.37,3.35,2.67,0.84,-8.02,3.33,2.86
"46","India",7,8,10,13,15,20,20,17,26,28,41,33,41,58,56,70,80,111,101,93,77,35,2.08,3.08,2.11,6.13,6.22,6.26,6.44,6.08,1.6,6.34,7,3.82,4.06,5.02,6.06,6.67,6.96,5.79,4.91,3.87,-7.57,7.87,6.1
"47","Indonesia",0,0,1,1,0,1,0,0,3,3,0,4,2,3,2,6,9,9,16,9,16,5,3.28,2.16,3.04,3.34,3.61,4.38,4.16,5.03,4.75,3.42,5.04,5.03,4.93,4.5,3.99,3.9,4.09,4.08,4.21,4.1,-2.9,2.84,4.07
"48","Iran",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,4.71,-0.37,6.43,6.94,3.35,1.93,3.75,6.81,-1.01,-0.3,4.45,1.55,-8.45,-1.46,3.12,-2.73,11.91,2.44,-14.41,-7.77,0.62,3.11,4.86
"49","Iraq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1.59,-0.72,-9.87,-35.16,49.68,1.23,9.43,2.44,6.05,-0.52,2.97,3.89,9.03,2.81,-2.51,0.06,12.73,-4.55,-2.75,2.11,-17.48,2.88,6.48
"50","Ireland",0,0,0,0,0,0,0,1,0,0,3,1,0,1,1,4,15,6,7,2,2,1,8.09,3.91,4.29,1.24,4.4,2.98,2.39,2.68,-6.55,-6.37,0.86,-0.69,-0.86,0.21,7.28,23.64,2.42,6.89,6.96,4.42,4.78,12.27,1.94
"51","Israel",0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,5,4,5,2,2,3,4.73,-2.08,-1.88,-0.94,2.2,1.99,3.64,3.88,1.16,-0.89,3.65,2.84,0.38,2.28,2,0.66,2.39,1.97,1.9,1.98,-3.55,6.35,3.45
"52","Italy",0,1,1,1,0,0,1,0,0,2,1,2,0,4,3,5,13,12,7,13,18,8,3.56,1.69,0,-0.31,0.77,0.27,1.39,0.88,-1.73,-5.86,1.23,0.27,-3.37,-2.19,-0.33,0.49,1.04,1.46,0.63,0.17,-8.94,6.87,2.4
"53","Jamaica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.17,0.44,1.51,3.59,1.28,0.89,2.93,1.5,-0.71,-4.2,-1.3,1.94,-0.41,0.67,0.83,1.02,1.43,1.03,1.94,0.68,-10.21,4.54,5.93
"54","Japan",2,2,4,5,3,5,5,3,10,5,11,10,7,11,16,16,25,37,49,36,24,15,2.57,0.14,-0.09,1.38,2.09,1.65,1.41,1.61,-1.1,-5.35,4.29,-0.03,1.58,2.09,0.49,1.37,0.69,2.37,0.56,0.95,-4.25,2.08,2.39
"55","Jordan",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,1,0,1,0,1,1.83,2.84,3.37,1.81,5.96,5.4,-0.7,-0.11,4.64,3.21,0.13,0.19,0.99,-7.24,-10.11,-4.79,-1.69,0.05,-0.11,-0.02,-2.92,1.37,1.38
"56","Kazakhstan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9.96,13.14,9.35,8.75,8.87,8.79,9.61,7.73,2.12,-0.08,5.91,6.04,3.5,4.72,2.97,0.04,-0.02,3,3.06,3.51,-3.36,3.23,1.16
"57","Kenya",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,-2.1,0.87,-2.35,-0.05,1.99,2.72,3.23,3.62,-2.8,0.19,5.22,2.92,1.57,3.16,2.72,3.13,3.48,2.5,3.92,3.03,-2.49,4.22,2.58
"58","Kuwait",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,1.73,-2.53,0.27,14.23,7.36,7.7,4.72,3.36,0.06,-9.16,-4.45,7.41,4.58,-0.69,-1.24,-1.06,1.32,-6.13,-0.18,-0.93,-10.01,2.08,4.05
"59","Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.37,7.13,8.04,9.48,9.52,11.94,12.91,10.9,-2.33,-12.8,-2.4,8.27,5.42,3.42,3.02,4.35,2.86,4.9,5.41,3.3,-2.76,5.42,3.18
"60","Lebanon",0,0,0,1,0,1,0,1,0,0,2,0,2,1,3,1,0,5,4,4,1,0,0.2,2.23,1.84,1.66,5.08,1.16,-0.47,6.5,6.86,8.98,7.56,0.43,0.31,-7.01,-10.31,-4.68,0.67,0.99,0.17,-1.55,-20.69,-8.62,1.32
"61","Liechtenstein",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.94,6.95,7.43,11.48,7.82,9.6,9.23,12.48,3.74,-13.81,3.78,8.62,5.29,4.61,4.53,3.1,3.64,5.32,4.72,5.01,1,6,3.49
"63","Luxembourg",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,4,2,0,0,6.74,1.3,2.74,0.41,2.16,1.61,3.52,6.7,-3.02,-6.11,2.98,0.31,-2.69,1.3,1.96,2.06,2.41,-0.23,1.13,0.4,-3.52,5.06,-0.41
"64","Malawi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.07,-7.52,-1.11,2.69,2.32,0.14,1.42,6.08,4.11,4.72,3.29,1.34,-1.51,1.72,2.23,-0.56,-0.86,1.26,0.51,1.75,-1.57,-0.24,0.2
"65","Malaysia",0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,4,1,3,6,2,2,0,6.05,-1.96,3.02,3.25,4.29,3.33,3.73,4.47,3.06,-3.14,5.69,3.63,3.84,3.11,4.44,3.57,2.98,4.44,3.5,3.14,-6.72,2.11,5.29
"66","Malta",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,6.01,-0.04,2.36,1.91,-0.17,3.17,1.46,3.63,2.68,-3.19,3.04,0.93,2.02,3.87,7.78,9.71,4.62,5.3,6.22,3.4,-9.14,8.55,3.97
"67","Mauritius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7.03,2.32,0.63,4.94,3.39,0.9,3.98,4.85,4.54,2.5,3.58,3.31,2.76,2.65,3.05,2.88,3.19,3.18,3.15,2.96,-15,4.88,5.49
"68","Mexico",0,1,0,0,2,0,3,1,1,0,5,0,3,2,4,9,23,20,25,25,23,13,3.57,-1.73,-1.35,0.11,2.55,1.02,3.2,0.96,-0.23,-6.62,3.61,2.19,2.23,0.06,1.55,2.06,1.72,0.94,0.99,-1.25,-8.94,4.63,1.24
"69","Mongolia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.01,1.78,3.51,5.83,9.44,6.09,7.31,8.87,7.44,-2.67,4.76,15.49,10.63,10.03,6.39,1.02,-0.11,4.07,6.02,3.97,-5.52,0.46,1.28
"70","Montenegro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Morocco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0.73,6.07,1.93,4.74,3.59,2.02,6.17,2.2,4.58,2.94,2.53,3.97,1.78,3.31,1.5,3.37,-0.04,3.13,1.93,1.28,-7.21,3.68,0.11
"72","Mozambique",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.73,9.9,7.11,4.75,5.71,4.41,7.36,5.4,4.87,3.76,3.78,4.49,4.28,4.06,4.53,3.93,1.14,1.05,0.72,-0.44,-3.78,-0.46,-0.2
"73","Namibia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.63,-1.53,2.92,2.83,10.81,1.26,5.75,4.02,1.29,-1.06,4.58,3.62,3.41,3.61,3.61,2.43,-2.25,-2.19,-1.22,-2.99,-9.56,0.57,0.36
"74","Nepal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4.39,3.04,-1.47,2.38,3.24,2.39,2.43,2.42,5.02,3.34,3.38,1.83,3.16,2.59,4.51,2,-0.64,7.01,5.59,5.96,-2.95,1.86,3.18
"75","Netherlands",0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,8,8,10,7,4,5,3,3.47,1.58,-0.4,-0.28,1.67,1.85,3.33,3.58,1.8,-4.14,0.83,1.06,-1.49,-0.57,0.99,1.53,1.78,2.51,2.2,1.43,-4.16,4.65,1.98
"76","New Zealand",0,0,1,2,0,1,0,2,0,3,0,1,0,0,1,3,5,3,5,2,1,1,2.4,2.51,3.05,2.92,2.79,2.3,1.8,2.02,-1.98,-1.26,0.36,1.46,1.54,1.67,2.11,1.73,1.68,1.26,2.04,0.6,-2.35,3.63,0.67
"77","Nicaragua",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.21,1.17,-0.92,0.91,3.75,2.82,2.76,3.73,2.16,-4.44,3.23,5.16,5.36,3.82,3.71,3.74,3.53,3.62,-4.87,-4.79,-2.71,9.32,2.48
"78","Nigeria",0,0,0,1,0,0,0,0,0,1,3,1,2,3,3,7,14,17,19,16,12,4,2.19,3.03,12.14,4.34,6.18,3.47,3.12,3.66,3.87,5.13,5.13,2.53,1.51,3.93,3.63,0.13,-3.98,-1.66,-0.63,-0.35,-4.25,1.06,0.12
"79","Norway",0,0,0,0,0,0,0,1,0,0,0,1,1,1,5,0,5,2,4,3,5,1,2.54,1.56,0.9,0.32,3.36,1.93,1.58,1.93,-0.77,-2.96,-0.55,-0.32,1.36,-0.25,0.74,0.79,-0.03,1.27,0.31,0.24,-2.14,3.23,1.75
"80","Pakistan",0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,4,5,5,0,1,0,1.21,0.33,-0.23,3.35,5.32,4.25,3.53,2.39,-0.56,0.62,-0.75,0.4,1.23,2.06,2.4,2.54,3.42,3.42,3.6,-1.11,-2.95,2.58,0.73
"81","Palestine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Panama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.88,-1.22,0.49,2.49,5.77,5.46,6.91,10.2,8.15,-0.29,4.27,9.71,8.23,5.42,3.64,4.33,3.59,4.27,2.41,1.76,-19.33,13.69,2.58
"83","Paraguay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-4.24,-2.72,-1.86,2.47,2.28,0.46,3.15,3.83,4.81,-1.65,9.66,2.91,-1.79,7.08,3.6,1.87,3.1,3.73,2.14,-1.2,-1.97,3,-0.9
"84","Peru",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,0,1.29,-0.71,4.11,2.89,3.72,5.07,6.34,7.36,7.98,0.04,7.21,5.23,5.06,4.79,1.37,2.24,2.95,1.54,3,1.21,-12.12,12.36,2.07
"85","Philippines",0,0,0,0,0,0,1,1,3,1,1,1,4,6,4,10,10,11,9,15,5,1,2.18,0.77,1.52,2.94,4.37,2.83,3.26,4.48,2.41,-0.29,5.55,2.17,5.22,5.04,4.62,4.64,5.45,5.26,4.7,4.42,-11.42,3.44,5.3
"86","Poland",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,6,4,7,4,4.59,1.28,2.09,3.63,5.2,3.54,6.22,7.05,4.2,2.74,3.53,4.98,1.61,1.43,3.39,3.92,3.17,5.07,5.51,4.33,-2.33,5.84,4.01
"87","Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,2,0,3.1,1.24,0.23,-1.31,1.53,0.6,1.44,2.23,0.1,-3.21,1.69,-1.55,-3.67,-0.38,1.34,2.22,2.34,3.81,2.92,2.44,-8.21,5.17,6
"88","Puerto Rico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.99,6.09,0.79,-0.01,8.73,-1.85,-0.99,-0.58,-1.27,-1.42,0.1,0.78,1.22,0.99,0.36,0.7,0.51,-1.16,-3.01,2.87,-2.37,1.8,4.62
"89","Qatar",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,1,1,1,0,1,1.55,-0.98,2.31,-0.83,6.25,-8.76,9.57,4.19,5.24,1.21,9.09,5.42,-0.8,-0.23,0.03,0.27,-0.74,-0.89,-0.63,-1.98,-5.1,0.15,5.29
"90","Romania",0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,2,3,0,2,3,0,0,2.59,5.37,5.94,2.62,10.71,4.91,8.26,7.45,9.53,-5.31,-3.67,2.26,2.34,3.79,3.7,4.18,5.12,7.46,4.79,4.45,-2.32,6.7,4.34
